Unit: dimensionless (ratio of electricity demand in this hour to annual demand),Hour0,Hour1,Hour2,Hour3,Hour4,Hour5,Hour6,Hour7,Hour8,Hour9,Hour10,Hour11,Hour12,Hour13,Hour14,Hour15,Hour16,Hour17,Hour18,Hour19,Hour20,Hour21,Hour22,Hour23
Winter,9.983160086371328e-05,9.851576531236489e-05,9.749099218369362e-05,9.447459636458364e-05,9.37224426767883e-05,9.782127664226127e-05,9.743531960135722e-05,0.00010613412712340959,0.00011082623055475538,0.00011525840382455096,0.00011209143649898346,0.00011436888028547003,0.00011525945003557276,0.00011673184191481018,0.00011603634421938622,0.00011396328923288658,0.000111181974608715,0.00010779253960115804,0.0001096909855795517,0.00011126928700113313,0.00011230696175297165,0.00011260671288600496,0.00010952641657123167,0.00010671193398868993
Spring,0.00011226275514586116,0.0001124450293005049,0.00011178979569472401,0.0001085202403409209,0.00010616311945975248,0.00010931800142920723,0.0001075028694664568,0.00011036653868306238,0.00011680132016978713,0.00012288663217898982,0.0001215872226740616,0.00012303523557477574,0.00012477112201495058,0.00012539508833437602,0.00012554111469967623,0.00012242288135021017,0.00011815989747349677,0.00011154418247332275,0.00010838337364527951,0.00011028954941782004,0.00011470804746962232,0.00011677618953407349,0.00011573175977374542,0.00011461642852193911
Summer,0.00011728515379362401,0.00011844550953843404,0.00011813554322192319,0.00011566908143117569,0.00011400120025462595,0.00011598303572991605,0.00011203141662583413,0.00011293532074427173,0.00011755066823802811,0.00012132778686499112,0.0001232718220188318,0.00012568549556603631,0.0001276814304634427,0.00012947353237679552,0.00012954196423443367,0.00012617821935194978,0.00012290661253951585,0.00011621399757507666,0.00011473465439436181,0.00011620223770463748,0.00011789724108583775,0.0001199990401115564,0.00011866673320112012,0.00011844932985758788
Fall,0.00011291758165351416,0.00011227595137157559,0.00010983557729397046,0.00010764879889910855,0.00010512710192506545,0.00010728589069563285,0.00010506855585561371,0.0001102973008444884,0.00011606406607169666,0.00012050878212081723,0.00012028737161367379,0.00012158520316953931,0.000123610951324804,0.00012458766214166193,0.0001231754273090233,0.00011950342672871008,0.00011584776354809802,0.00011039043322441635,0.00010888969984698664,0.0001117322250201612,0.00011396918464091561,0.00011514530548110012,0.00011487435566581348,0.00011498496381617622
Summer Peak 1,0.00014267902600660377,0.00014280981132410255,0.00014623433431732924,0.00014359811496160782,0.0001404160189364825,0.00014123878484003846,0.00013481172935229322,0.00013881468722213487,0.0001467885244649989,0.0001566555190218641,0.0001595775301838697,0.00016218326239467453,0.0001636195273754881,0.00016534555558586102,0.00016279609897605448,0.00015304976947275967,0.00014589661121619212,0.00012806574953120518,0.00011884243580256424,0.00011177202271996576,0.00010724764923822683,0.00010198292289450225,9.472931475516263e-05,9.53943484418169e-05
Summer Peak 2,0.00013027965005926956,0.00013054345768669022,0.00013286766805264668,0.00013097462834405984,0.0001291784526008526,0.00013351998384427056,0.00012902019345918228,0.00013233758392447727,0.00013982747935590276,0.00014593501610314774,0.00015118138512092892,0.00015637430255354868,0.00015929563728711926,0.00015947041963517588,0.00015678327792099068,0.00014967828871377168,0.00014284748208970912,0.00013431345209757877,0.00013512325444395266,0.00013827195035614676,0.0001430155707229775,0.00014789120239615402,0.00014399078743102247,0.0001407899429646901
Summer Peak 3,0.0001304615068905574,0.00013188662671485173,0.00013477934954691248,0.00013431413627007296,0.00013287262302041835,0.00013724641656721648,0.00013349846940017917,0.00013609032672586807,0.00014334579627185094,0.0001487220046813011,0.0001525071475811217,0.00015679792784338917,0.0001597081025974361,0.0001619457536029882,0.00016058839006929062,0.0001550744730032459,0.0001453855415519215,0.00013389165660786513,0.00013318606944972693,0.00013375342573999314,0.00013550208868353728,0.00013765956846773278,0.00013392898442181455,0.00013099400368503356
Summer Peak 4,0.0001257615750165556,0.00012611319053198832,0.00012721284063834385,0.00012620640148620468,0.00012458820277670628,0.00012773902017357598,0.00012098545615798363,0.00012535767946235263,0.00013161853662490227,0.00013694600877458152,0.00014101815440051285,0.00014587991587811618,0.0001478300221517943,0.00014988920819021756,0.0001485777527541059,0.00014441236115369862,0.00013939749165962838,0.000131645243783953,0.0001330793921503357,0.00013605883998445937,0.00013804722829823305,0.0001417254551053627,0.0001383946145765758,0.0001356877433597062
Summer Peak 5,0.00013953621375927563,0.00014057712527609307,0.00014259500612065823,0.00014009839281399226,0.00013986423571293348,0.00014432491835768933,0.00013782775830825598,0.0001419375202192384,0.00014910195604223833,0.00015392625246927707,0.00015700556420451676,0.00015990621400530265,0.0001607466131500322,0.00016020096286754025,0.00015362889969382256,0.00014086082503252868,0.00013058614506665452,0.00012133208555741468,0.00012118645495473888,0.00012382306434260068,0.00012800790048957063,0.00013137015029958065,0.00012819692794624647,0.00012632570436804495
Winter Peak 1,9.993433787324545e-05,9.818866213356879e-05,0.00010068415090248144,9.787462823453435e-05,9.688691344125468e-05,0.0001012169484851845,9.8300881540622e-05,0.00010810794552046391,0.00011705049284734955,0.0001265397516998053,0.0001246392676023453,0.00012995322084761326,0.00013198530703330133,0.0001353377607456551,0.00013428912979414838,0.00013325504208556367,0.00012842545209009473,0.0001232741320333565,0.00012430563222035252,0.0001256143052815459,0.00012376818972615635,0.00012512749199605487,0.0001206274784462102,0.00011511938847442905
